,LIRA,LIBD,LIPZ,LICJ,LIRQ,LIEE,LIPE,LIPY,LIRN,LIBP,LIPX,LICA,LICC,LIMJ,LIPQ
LIRA,0,110.8342746400864,147.8204105152657,92.90063291756613,163.7161177922527,65.7564059129336,170.36484446611612,107.5595203296286,183.46245175788488,109.25995302031612,145.81785321372834,78.27159387816268,104.06657213007347,106.64171203933631,106.17963417086996
LIBD,110.8342746400864,0,91.55504215728584,61.708074751043014,91.37371126265293,39.35727515797228,99.67078150953917,63.23459839219006,119.62931472114003,65.1147667360413,88.3834957171996,62.28366559204925,74.97810833104366,62.82318770345321,67.95815691467693
LIPZ,147.8204105152657,91.55504215728584,0,73.37338335319575,163.14698460797695,53.45655936145149,203.0786250422614,100.51854215686646,129.50626213379348,82.1370912874922,195.37872805026979,63.75035764187382,85.30523190393,110.96742847244542,152.2364727746113
LICJ,92.90063291756613,61.708074751043014,73.37338335319575,0,75.83798274882975,40.209902715000496,81.84310688290805,48.67851818411616,93.0710279301491,47.82634251433186,72.72173774221257,52.35141972891807,80.89591552826978,53.78247719773036,53.45248833302754
LIRQ,163.7161177922527,91.37371126265293,163.14698460797695,75.83798274882975,0,56.62713445940087,226.1852067714796,102.99180901896788,134.89622706315157,85.31879130823131,169.02640692699276,64.44666517555862,86.70293163543727,120.57050883310309,110.48763422499886
LIEE,65.7564059129336,39.35727515797228,53.45655936145149,40.209902715000496,56.62713445940087,0,60.72335895558418,34.54042961983061,59.33951224257117,32.734246990811236,53.992699445066265,30.32452042601262,43.28312589239352,41.40688401918338,38.445547555444435
LIPE,170.36484446611612,99.67078150953917,203.0786250422614,81.84310688290805,226.1852067714796,60.72335895558418,0,111.77161826811924,144.53928884067136,91.40268852269718,218.39231747756486,70.07549707185365,94.19913387335365,135.12432329854119,131.17874495422546
LIPY,107.5595203296286,63.23459839219006,100.51854215686646,48.67851818411616,102.99180901896788,34.54042961983061,111.77161826811924,0,91.74394949008575,64.98772656752183,94.05362016771524,42.721790688697496,56.316190821401634,63.76804706043813,72.69797362439
LIRN,183.46245175788488,119.62931472114003,129.50626213379348,93.0710279301491,134.89622706315157,59.33951224257117,144.53928884067136,91.74394949008575,0,98.81643372204788,126.47553313590458,83.4438013967774,106.0985905329508,91.44863753118473,94.62599619846912
LIBP,109.25995302031612,65.1147667360413,82.1370912874922,47.82634251433186,85.31879130823131,32.734246990811236,91.40268852269718,64.98772656752183,98.81643372204788,0,78.81410855554097,42.65391016288391,55.276292023625935,55.498041057802304,60.112150528337594
LIPX,145.81785321372834,88.3834957171996,195.37872805026979,72.72173774221257,169.02640692699276,53.992699445066265,218.39231747756486,94.05362016771524,126.47553313590458,78.81410855554097,0,62.40286700830422,84.1008703824026,123.98826355626512,123.06701140614548
LICA,78.27159387816268,62.28366559204925,63.75035764187382,52.35141972891807,64.44666517555862,30.32452042601262,70.07549707185365,42.721790688697496,83.4438013967774,42.65391016288391,62.40286700830422,0,69.8945641008426,45.20678549328011,46.92002004702787
LICC,104.06657213007347,74.97810833104366,85.30523190393,80.89591552826978,86.70293163543727,43.28312589239352,94.19913387335365,56.316190821401634,106.0985905329508,55.276292023625935,84.1008703824026,69.8945641008426,0,61.5717300357132,62.51561833640377
LIMJ,106.64171203933631,62.82318770345321,110.96742847244542,53.78247719773036,120.57050883310309,41.40688401918338,135.12432329854119,63.76804706043813,91.44863753118473,55.498041057802304,123.98826355626512,45.20678549328011,61.5717300357132,0,75.90061266358296
LIPQ,106.17963417086996,67.95815691467693,152.2364727746113,53.45248833302754,110.48763422499886,38.445547555444435,131.17874495422546,72.69797362439,94.62599619846912,60.112150528337594,123.06701140614548,46.92002004702787,62.51561833640377,75.90061266358296,0
