Flight Number;ORG;DEST;Departure;Arrival;A330;A340;B737;B738;BUS
AR1842;EIDW;BIKF;13:30:00;17:45:00;15756.05704;18459.13931;13429.53774;13012.0998;1000000
AR1874;BIKF;EFRO;14:05:00;14:50:00;11225.28669;12235.85705;8753.575914;9021.988449;1000000
AR1666;ESSA;LIMC;15:00:00;16:25:00;12577.89656;14047.5867;10063.60108;10161.62788;1000000
AR1800;EIDW;EDDB;15:35:00;17:20:00;13098.17995;14756.06703;10588.68124;10612.82206;1000000
AR1801;EDDB;EIDW;10:55:00;14:25:00;15101.97281;17535.97116;12707.57161;12408.17103;1000000
AR1736;EHEH;LIMC;15:50:00;17:15:00;12577.89656;14047.5867;10063.60108;10161.62788;1000000
AR1725;EHEH;LIMC;22:00:00;23:25:00;12577.89656;14047.5867;10063.60108;10161.62788;1000000
AR1823;RJAA;LPPT;03:15:00;08:30:00;16520.30167;19546.57876;14290.39307;13727.83837;1000000
AR1843;BIKF;EIDW;09:55:00;12:25:00;14068.56707;16092.69491;11596.50307;11471.40565;1000000
AR1735;LIMC;EHEH;13:25:00;14:40:00;12287.38623;13654.66019;9775.331467;9912.660552;1000000
AR1890;LIMC;EFRO;15:55:00;18:55:00;14613.40423;16851.20883;12177.63353;11962.54595;1000000
AR1531;LTFM;EIDW;22:05:00;22:30:00;10216.49065;10917.40881;7834.711811;8207.773464;1000000
AR1803;LEMD;EIDW;14:00:00;14:25:00;10216.49065;10917.40881;7834.711811;8207.773464;1000000
AR1854;EIDW;LEMD;13:30:00;13:55:00;10216.49065;10917.40881;7834.711811;8207.773464;1000000
AR1700;LIMC;EHEH;05:40:00;06:55:00;12287.38623;13654.66019;9775.331467;9912.660552;1000000
AR1596;RJAA;EIDW;18:00:00;22:30:00;15957.23803;18744.50289;13654.37977;13199.48077;1000000
AR1810;LEMD;EDDB;14:00:00;17:20:00;14944.47572;17314.76839;12535.84838;12263.9936;1000000
AR1891;EFRO;LIMC;20:25:00;23:18:00;14491.89455;16681.56822;12047.11574;11852.47132;1000000
AR1878;LIMC;EFRO;05:35:00;08:35:00;14613.40423;16851.20883;12177.63353;11962.54595;1000000
AR1879;EFRO;LIMC;10:05:00;12:58:00;14491.89455;16681.56822;12047.11574;11852.47132;1000000
