,Origin,Destination,Frequency,AC Type,Direct Flow,Transfer Flow
0,LIRA,LIBD,3.0,Regional Turboprop,108.0,0.0
1,LIRA,LIPZ,4.0,Regional Turboprop,144.0,0.0
2,LIRA,LICJ,3.0,Regional Turboprop,92.0,16.0
3,LIRA,LIRQ,5.0,Regional Turboprop,163.0,17.0
4,LIRA,LIEE,2.0,Regional Turboprop,65.0,7.0
5,LIRA,LIPE,5.0,Regional Turboprop,170.0,10.0
6,LIRA,LIPY,3.0,Regional Turboprop,107.0,1.0
7,LIRA,LIRN,5.0,Regional Turboprop,175.0,5.0
8,LIRA,LIBP,3.0,Regional Turboprop,108.0,0.0
9,LIRA,LIPX,4.0,Regional Turboprop,144.0,0.0
10,LIRA,LICA,2.0,Regional Turboprop,72.0,0.0
11,LIRA,LICC,3.0,Regional Turboprop,104.0,4.0
12,LIRA,LIMJ,3.0,Regional Turboprop,106.0,2.0
13,LIRA,LIPQ,3.0,Regional Turboprop,106.0,2.0
14,LIBD,LIRA,3.0,Regional Turboprop,108.0,0.0
15,LIBD,LIPZ,1.0,Regional Jet,56.0,0.0
16,LIBD,LICJ,1.0,Regional Jet,56.0,0.0
17,LIBD,LIRQ,1.0,Regional Jet,56.0,0.0
18,LIBD,LIPE,1.0,Regional Jet,56.0,0.0
19,LIBD,LIPY,1.0,Regional Jet,56.0,0.0
20,LIBD,LIRN,3.0,Regional Turboprop,108.0,0.0
21,LIBD,LIBP,1.0,Regional Turboprop,36.0,0.0
22,LIBD,LICA,1.0,Regional Turboprop,36.0,0.0
23,LIBD,LICC,2.0,Regional Turboprop,72.0,0.0
24,LIBD,LIMJ,1.0,Regional Jet,56.0,0.0
25,LIBD,LIPQ,1.0,Regional Jet,56.0,0.0
26,LIPZ,LIRA,4.0,Regional Turboprop,144.0,0.0
27,LIPZ,LIBD,1.0,Regional Jet,56.0,0.0
28,LIPZ,LIRQ,4.0,Regional Turboprop,144.0,0.0
29,LIPZ,LIPE,5.0,Regional Turboprop,180.0,0.0
30,LIPZ,LIPY,2.0,Regional Turboprop,72.0,0.0
31,LIPZ,LIRN,2.0,Regional Jet,112.0,0.0
32,LIPZ,LIBP,2.0,Regional Turboprop,72.0,0.0
33,LIPZ,LIPX,5.0,Regional Turboprop,180.0,0.0
34,LIPZ,LIMJ,3.0,Regional Turboprop,108.0,0.0
35,LIPZ,LIPQ,4.0,Regional Turboprop,144.0,0.0
36,LICJ,LIRA,3.0,Regional Turboprop,92.0,16.0
37,LICJ,LIBD,1.0,Regional Jet,56.0,0.0
38,LICJ,LIRQ,1.0,Regional Jet,56.0,0.0
39,LICJ,LIEE,1.0,Regional Turboprop,36.0,0.0
40,LICJ,LIPE,1.0,Regional Jet,56.0,0.0
41,LICJ,LIRN,2.0,Regional Turboprop,72.0,0.0
42,LICJ,LIBP,1.0,Regional Turboprop,36.0,0.0
43,LICJ,LICA,1.0,Regional Turboprop,36.0,0.0
44,LICJ,LICC,2.0,Regional Turboprop,72.0,0.0
45,LIRQ,LIRA,5.0,Regional Turboprop,163.0,17.0
46,LIRQ,LIBD,1.0,Regional Jet,56.0,0.0
47,LIRQ,LIPZ,4.0,Regional Turboprop,144.0,0.0
48,LIRQ,LICJ,1.0,Regional Jet,56.0,0.0
49,LIRQ,LIEE,1.0,Regional Jet,56.0,0.0
50,LIRQ,LIPE,6.0,Regional Turboprop,216.0,0.0
51,LIRQ,LIPY,3.0,Regional Turboprop,102.0,0.0
52,LIRQ,LIRN,2.0,Regional Turboprop,128.0,0.0
53,LIRQ,LIRN,1.0,Regional Jet,128.0,0.0
54,LIRQ,LIBP,2.0,Regional Turboprop,72.0,0.0
55,LIRQ,LIPX,4.0,Regional Turboprop,144.0,0.0
56,LIRQ,LIMJ,3.0,Regional Turboprop,108.0,0.0
57,LIRQ,LIPQ,3.0,Regional Turboprop,108.0,0.0
58,LIEE,LIRA,2.0,Regional Turboprop,65.0,7.0
59,LIEE,LICJ,1.0,Regional Turboprop,36.0,0.0
60,LIEE,LIRQ,1.0,Regional Jet,56.0,0.0
